rating_id,experiment_id,agent_id,round_num,kl_round,surprisal_round
m0031,6f900f95be41487cad98565ab9e9838e,5a000001,9,0.291337,0.291337
m0032,825a180f11e44c7e8d4966712afcb073,5a000002,7,0.166883,0.291337
m0033,825a180f11e44c7e8d4966712afcb073,5a000002,2,1.409967,0.291337
m0034,479d2822ff7a47bc9659d491b5eec4de,wa000001,1,0.507823,1.051957
m0035,1ad6d4dbf9504727a10bbe83f48a7e74,wa000001,2,0.158910,1.609438
m0036,eacd6c42ed3b41cebc986c39a4cd5eab,5a000002,6,1.387290,1.387290
m0037,825a180f11e44c7e8d4966712afcb073,5a000002,3,0.662764,0.918781
m0038,1ad6d4dbf9504727a10bbe83f48a7e74,wa000002,3,0.502236,1.051957
m0039,67f99354ad1545f4ad788ac6d02b77f3,wa000002,8,1.271995,0.166331
m0040,eacd6c42ed3b41cebc986c39a4cd5eab,wa000001,1,0.303479,0.918781
m0041,6f900f95be41487cad98565ab9e9838e,wa000001,2,0.191466,0.514148
m0042,67f99354ad1545f4ad788ac6d02b77f3,5a000002,10,0.226882,0.226882
m0043,479d2822ff7a47bc9659d491b5eec4de,5a000001,2,1.387290,1.387290
m0044,fca62f2d643c44deb2993c1a13af85ea,5a000001,13,0.664045,1.052951
m0045,6f900f95be41487cad98565ab9e9838e,wa000002,9,0.625012,0.166331
m0046,825a180f11e44c7e8d4966712afcb073,5a000001,8,0.131685,0.131685
m0047,67f99354ad1545f4ad788ac6d02b77f3,5a000001,9,1.387290,1.387290
m0048,c589406ad63c4875ad11215ceef36957,5a000002,10,1.387290,1.387290
m0049,6f900f95be41487cad98565ab9e9838e,5a000001,5,0.190113,0.190113
m0050,479d2822ff7a47bc9659d491b5eec4de,5a000001,6,1.387290,1.387290
m0051,ecd819d636ab4e69af1ad85d37967433,wa000001,11,0.500302,1.206627
m0052,94703f480d00413c983624b783ee325d,wa000001,7,0.285127,1.052951
m0053,ecd819d636ab4e69af1ad85d37967433,wa000001,15,1.032814,1.610432
m0054,1a702df13979421e82e56d700bf6c30a,wa000001,7,0.602932,1.610432
m0055,c589406ad63c4875ad11215ceef36957,wa000002,6,0.418839,1.051957
m0056,c589406ad63c4875ad11215ceef36957,wa000002,7,0.524956,1.205633
m0057,6f900f95be41487cad98565ab9e9838e,wa000002,7,0.741269,1.609438
m0058,6f900f95be41487cad98565ab9e9838e,5a000002,3,1.387290,1.387290
m0059,1a702df13979421e82e56d700bf6c30a,wa000001,15,0.642610,1.206627
m0060,ceeaf90515ab47bba3d336d847606fae,5a000001,9,0.989517,1.388284
m0061,1ad6d4dbf9504727a10bbe83f48a7e74,wa000001,10,0.206745,1.609438
m0062,67f99354ad1545f4ad788ac6d02b77f3,5a000001,8,1.387290,1.387290
m0063,eacd6c42ed3b41cebc986c39a4cd5eab,5a000001,6,0.190113,0.190113
m0064,67f99354ad1545f4ad788ac6d02b77f3,5a000002,6,0.190113,0.190113
m0065,6f900f95be41487cad98565ab9e9838e,wa000002,2,0.665728,1.387290
m0066,479d2822ff7a47bc9659d491b5eec4de,5a000001,10,1.609438,1.609438
m0067,6f900f95be41487cad98565ab9e9838e,5a000001,4,0.291337,0.291337
m0068,1a702df13979421e82e56d700bf6c30a,wa000001,19,0.642610,1.388284
m0069,825a180f11e44c7e8d4966712afcb073,5a000001,3,0.291337,0.291337
m0070,eacd6c42ed3b41cebc986c39a4cd5eab,5a000002,1,1.387290,1.387290
m0071,c589406ad63c4875ad11215ceef36957,wa000001,5,0.304136,1.387290
m0072,67f99354ad1545f4ad788ac6d02b77f3,wa000002,7,0.090287,0.696137
m0073,1ad6d4dbf9504727a10bbe83f48a7e74,wa000002,6,0.281682,1.387290
m0074,eacd6c42ed3b41cebc986c39a4cd5eab,wa000002,8,0.439925,0.918781
m0075,67f99354ad1545f4ad788ac6d02b77f3,wa000001,2,0.446036,1.609438
m0076,67f99354ad1545f4ad788ac6d02b77f3,wa000002,6,0.763642,0.131685
m0077,67f99354ad1545f4ad788ac6d02b77f3,wa000002,5,0.126532,1.205633
m0078,67f99354ad1545f4ad788ac6d02b77f3,wa000002,1,0.468688,1.895463
m0079,479d2822ff7a47bc9659d491b5eec4de,5a000001,4,1.387290,1.387290
m0080,479d2822ff7a47bc9659d491b5eec4de,wa000001,3,0.442062,1.205633
m0081,67f99354ad1545f4ad788ac6d02b77f3,wa000002,3,0.763642,0.131685
m0082,6f900f95be41487cad98565ab9e9838e,wa000001,4,0.606599,1.205633
m0083,eacd6c42ed3b41cebc986c39a4cd5eab,5a000002,5,1.895463,1.895463
m0084,24e1c69c3acf45d0b3b613a71c3e0cca,wa000001,19,1.069948,1.388284
m0085,825a180f11e44c7e8d4966712afcb073,wa000001,8,0.622175,0.166331
m0086,24e1c69c3acf45d0b3b613a71c3e0cca,5a000001,17,0.989517,1.388284
m0087,c589406ad63c4875ad11215ceef36957,wa000002,9,0.286506,0.109238
m0088,825a180f11e44c7e8d4966712afcb073,wa000002,2,0.256615,1.387290
m0089,fca62f2d643c44deb2993c1a13af85ea,wa000001,19,0.775899,1.206627
m0090,94703f480d00413c983624b783ee325d,5a000001,13,0.229840,0.167325
m0091,825a180f11e44c7e8d4966712afcb073,wa000001,6,0.882974,0.226882
m0092,67f99354ad1545f4ad788ac6d02b77f3,5a000001,3,1.895463,1.895463
m0093,eacd6c42ed3b41cebc986c39a4cd5eab,wa000001,5,0.513408,2.116952
m0094,1ad6d4dbf9504727a10bbe83f48a7e74,wa000002,10,2.332749,2.297622
m0095,eacd6c42ed3b41cebc986c39a4cd5eab,5a000002,7,1.387290,1.387290
m0096,c589406ad63c4875ad11215ceef36957,5a000001,2,1.609438,1.609438
m0097,67f99354ad1545f4ad788ac6d02b77f3,5a000002,7,0.131685,0.131685
m0098,1a702df13979421e82e56d700bf6c30a,5a000001,5,0.202124,0.132680
m0099,825a180f11e44c7e8d4966712afcb073,5a000002,8,0.188675,0.360235
m0100,6f900f95be41487cad98565ab9e9838e,wa000002,10,0.092665,0.801275
